at_index,sr_index,max_year,min_year,distance,class
0,1,1993,1989,5.217230716220669,1
0,2,1995,1993,0.2940080094299257,0
0,3,1993,1993,2.576925181655738,1
0,4,1995,1993,2.9050747425797585,1
0,5,1995,1993,5.674780762969625,1
0,6,1994,1993,3.321928094887362,1
0,7,1993,1989,8,1
0,8,1993,1993,0.1941346960828825,0
9,10,1982,1979,0,0
9,11,1988,1982,2.1428728867680547,1
9,12,1982,1982,0,0
9,13,1985,1982,0,0
14,14,1977,1977,0,0
14,15,1977,1972,3,1
14,16,1977,1974,1,0
14,17,1977,1972,4,1
14,18,1977,1968,7,1
14,19,1980,1977,3,1
14,20,1982,1977,5,1
14,21,1982,1977,3,1
14,22,1985,1977,3.70283290924706,1
14,23,1977,1973,1.9389914387755427,0
14,12,1982,1977,0,0
14,24,1985,1977,4.499845887083206,1
14,13,1985,1977,3.7502045092798713,1
25,1,1992,1989,0.21723071622066914,0
25,26,1992,1986,3,1
25,2,1995,1992,4.878970510151082,1
25,27,1994,1992,0,0
25,4,1995,1992,5.3110671022555955,1
25,11,1992,1988,2.1428728867680547,1
25,7,1992,1989,2,1
25,8,1993,1992,4.013462259806563,1
25,28,1992,1987,3.3336026282682805,1
25,29,1992,1987,4.5109619192773796,1
25,30,1992,1990,0,0
25,13,1992,1985,2.7502045092798713,1
10,10,1979,1979,0,0
10,21,1982,1979,1,0
10,22,1985,1979,1.4998458870832054,0
10,11,1988,1979,4.142872886768054,1
10,12,1982,1979,0,0
10,28,1987,1979,5.33360262826828,1
10,29,1987,1979,5.5109619192773796,1
10,13,1985,1979,1.029105320572686,0
1,1,1989,1989,0,0
1,26,1989,1986,5,1
1,11,1989,1988,4.142872886768054,1
1,7,1989,1989,4,1
1,28,1989,1987,3.536589650432135,1
1,29,1989,1987,3.925999418556223,1
1,24,1989,1985,5.499845887083206,1
1,30,1990,1989,1.5999128421871276,0
1,13,1989,1985,3.251953641752046,1
15,15,1972,1972,0,0
15,16,1974,1972,0,0
15,17,1972,1972,2,1
15,18,1972,1968,4,1
15,23,1973,1972,0,0
16,15,1974,1972,1,0
16,16,1974,1974,0,0
16,17,1974,1972,4,1
16,18,1974,1968,5,1
