header,Collection_Date,Passage_History
A/Singapore/INFIMH-16-0019/2016,2016-04-14,E5/E2
A/Norway/2279/2019,2019-09-25,E4
A/Portugal/6/2019,2019-10-22,SIAT1/SIAT1
A/Ireland/95061/2019,2019-11-25,SIAT1
A/England/195160658/2019,2019-12-10,SIAT1/SIAT1
A/Bayern/115/2019,2019-12-16,C1/SIAT1
A/Portugal/16/2019,2019-12-16,SIAT1/SIAT1
A/England/195200780/2019,2019-12-23,SIAT1/SIAT1
A/Athens.GR/25/2020,2020-01-07,MDCK1/SIAT1
A/Saarland/25/2019,2019-12-16,C2/SIAT1
A/Ireland/93664/2019,2019-11-22,SIAT3
A/Ireland/95068/2019,2019-11-25,SIAT1
A/England/670/2019,2019-12-09,SIAT1/SIAT1
A/England/652/2019,2019-12-09,SIAT1/SIAT1
A/Hessen/72/2019,2019-12-10,C1/SIAT1
A/Austria/1207674/2019,2019-12-12,SIATx/SIAT1
A/Austria/1208858/2019,2019-12-16,SIATx/SIAT1
A/Austria/1208486/2019,2019-12-16,SIATx/SIAT1
A/Berlin/62/2019,2019-12-16,C1/SIAT1
A/Austria/1209271/2019,2019-12-18,SIATx/SIAT1
A/Austria/1209022/2019,2019-12-18,SIATx/SIAT1
A/Lyon/2358/2019,2019-12-20,MDCK2/SIAT1
A/Lisboa/118/2019,2019-12-25,SIAT1/SIAT1
A/Berlin/1/2020,2020-01-03,C1/SIAT1
A/Thuringen/3/2020,2020-01-06,C1/SIAT1
A/Berlin/2/2020,2020-01-09,C1/SIAT1
A/Bulgaria/062/2020,2020-01-10,SIAT1
A/Bulgaria/061/2020,2020-01-10,SIAT1
A/Bulgaria/090/2020,2020-01-13,SIAT1
A/Athens.GR/79/2020,2020-01-14,MDCK1/SIAT1
